?subclass	?subclassLabel
<http://www.wikidata.org/entity/Q10429346>	"bibliographer"@en
<http://www.wikidata.org/entity/Q11774202>	"essayist"@en
<http://www.wikidata.org/entity/Q15958642>	"political writer"@en
<http://www.wikidata.org/entity/Q16314501>	"encyclopedist"@en
<http://www.wikidata.org/entity/Q18931911>	"theorist"@en
<http://www.wikidata.org/entity/Q24262594>	"religious writer"@en
<http://www.wikidata.org/entity/Q2662892>	"Boileau-Narcejac"@en
<http://www.wikidata.org/entity/Q2936875>	"Cantore al liuto"@en
<http://www.wikidata.org/entity/Q516463>	"heraldist"@en
<http://www.wikidata.org/entity/Q1133078>	"logographer"@en
<http://www.wikidata.org/entity/Q1350189>	"egyptologist"@en
<http://www.wikidata.org/entity/Q1493121>	"military historian"@en
<http://www.wikidata.org/entity/Q1595570>	"local historian"@en
<http://www.wikidata.org/entity/Q1743122>	"church historian"@en
<http://www.wikidata.org/entity/Q1792450>	"art historian"@en
<http://www.wikidata.org/entity/Q2004963>	"numismatist"@en
<http://www.wikidata.org/entity/Q2135538>	"legal historian"@en
<http://www.wikidata.org/entity/Q2870087>	"Atthidographer"@en
<http://www.wikidata.org/entity/Q2995513>	"contemporary historian"@en
<http://www.wikidata.org/entity/Q3332711>	"medievalist"@en
<http://www.wikidata.org/entity/Q4287237>	Q4287237
<http://www.wikidata.org/entity/Q4529715>	"Hittitologist"@en
<http://www.wikidata.org/entity/Q8175949>	"media historian"@en
<http://www.wikidata.org/entity/Q8963721>	"genealogist"@en
<http://www.wikidata.org/entity/Q13570226>	"literary historian"@en
<http://www.wikidata.org/entity/Q15462162>	"cultural historian"@en
<http://www.wikidata.org/entity/Q15632632>	"epigrapher"@en
<http://www.wikidata.org/entity/Q15985128>	"medical historian"@en
<http://www.wikidata.org/entity/Q16063546>	"historian of science"@en
<http://www.wikidata.org/entity/Q17486321>	"agrarian historian"@en
<http://www.wikidata.org/entity/Q17486330>	"historian of mathematics"@en
<http://www.wikidata.org/entity/Q17486338>	"historian of technology"@en
<http://www.wikidata.org/entity/Q17488316>	"prehistorian"@en
<http://www.wikidata.org/entity/Q17488357>	"historian of religion"@en
<http://www.wikidata.org/entity/Q17488363>	"economic historian"@en
<http://www.wikidata.org/entity/Q17488392>	"historian of cartography"@en
